invoice_key,invoice_no,invoice_datetime,invoice_date,invoice_hour
68,536527,2010-12-01 13:04:00,2010-12-01,13
69,536528,2010-12-01 13:17:00,2010-12-01,13
70,536529,2010-12-01 13:20:00,2010-12-01,13
71,536530,2010-12-01 13:21:00,2010-12-01,13
72,536531,2010-12-01 13:23:00,2010-12-01,13
73,536532,2010-12-01 13:24:00,2010-12-01,13
74,536533,2010-12-01 13:31:00,2010-12-01,13
75,536534,2010-12-01 13:33:00,2010-12-01,13
76,536535,2010-12-01 13:38:00,2010-12-01,13
77,536536,2010-12-01 13:45:00,2010-12-01,13
78,536537,2010-12-01 13:51:00,2010-12-01,13
79,536538,2010-12-01 13:54:00,2010-12-01,13
80,536539,2010-12-01 14:03:00,2010-12-01,14
81,536540,2010-12-01 14:05:00,2010-12-01,14
82,536541,2010-12-01 14:05:00,2010-12-01,14
83,536542,2010-12-01 14:11:00,2010-12-01,14
84,536551,2010-12-01 14:34:00,2010-12-01,14
85,536556,2010-12-01 14:38:00,2010-12-01,14
86,536557,2010-12-01 14:41:00,2010-12-01,14
87,536559,2010-12-01 14:54:00,2010-12-01,14
88,536560,2010-12-01 15:00:00,2010-12-01,15
89,536561,2010-12-01 15:06:00,2010-12-01,15
90,536562,2010-12-01 15:08:00,2010-12-01,15
91,536563,2010-12-01 15:08:00,2010-12-01,15
92,536564,2010-12-01 15:08:00,2010-12-01,15
93,536566,2010-12-01 15:21:00,2010-12-01,15
94,536567,2010-12-01 15:27:00,2010-12-01,15
95,536568,2010-12-01 15:28:00,2010-12-01,15
96,536569,2010-12-01 15:35:00,2010-12-01,15
97,536570,2010-12-01 15:35:00,2010-12-01,15
98,536571,2010-12-01 15:37:00,2010-12-01,15
99,536572,2010-12-01 15:40:00,2010-12-01,15
100,536573,2010-12-01 15:45:00,2010-12-01,15
101,536574,2010-12-01 15:46:00,2010-12-01,15
102,536575,2010-12-01 16:01:00,2010-12-01,16
103,536576,2010-12-01 16:11:00,2010-12-01,16
104,536577,2010-12-01 16:13:00,2010-12-01,16
105,536578,2010-12-01 16:15:00,2010-12-01,16
106,536579,2010-12-01 16:16:00,2010-12-01,16
107,536580,2010-12-01 16:17:00,2010-12-01,16
108,536581,2010-12-01 16:19:00,2010-12-01,16
109,536582,2010-12-01 16:21:00,2010-12-01,16
110,536583,2010-12-01 16:21:00,2010-12-01,16
111,536584,2010-12-01 16:22:00,2010-12-01,16
112,536585,2010-12-01 16:24:00,2010-12-01,16
113,536586,2010-12-01 16:25:00,2010-12-01,16
114,536587,2010-12-01 16:33:00,2010-12-01,16
115,536588,2010-12-01 16:49:00,2010-12-01,16
116,536590,2010-12-01 16:52:00,2010-12-01,16
117,536591,2010-12-01 16:57:00,2010-12-01,16
118,536593,2010-12-01 17:15:00,2010-12-01,17
119,536594,2010-12-01 17:22:00,2010-12-01,17
120,536595,2010-12-01 17:24:00,2010-12-01,17
121,536597,2010-12-01 17:35:00,2010-12-01,17
122,536598,2010-12-02 07:48:00,2010-12-02,7
123,536599,2010-12-02 07:49:00,2010-12-02,7
124,536600,2010-12-02 08:32:00,2010-12-02,8
125,536601,2010-12-02 08:33:00,2010-12-02,8
126,536602,2010-12-02 08:34:00,2010-12-02,8
127,536603,2010-12-02 08:40:00,2010-12-02,8
128,536604,2010-12-02 08:43:00,2010-12-02,8
129,536605,2010-12-02 08:52:00,2010-12-02,8
130,536607,2010-12-02 09:29:00,2010-12-02,9
131,536608,2010-12-02 09:37:00,2010-12-02,9
132,536609,2010-12-02 09:41:00,2010-12-02,9
133,536610,2010-12-02 09:42:00,2010-12-02,9
134,536611,2010-12-02 09:43:00,2010-12-02,9
135,536612,2010-12-02 09:44:00,2010-12-02,9
136,536613,2010-12-02 09:44:00,2010-12-02,9
137,536614,2010-12-02 09:44:00,2010-12-02,9
138,536615,2010-12-02 10:09:00,2010-12-02,10
139,536616,2010-12-02 10:10:00,2010-12-02,10
140,536617,2010-12-02 10:17:00,2010-12-02,10
141,536618,2010-12-02 10:17:00,2010-12-02,10
142,536619,2010-12-02 10:18:00,2010-12-02,10
143,536620,2010-12-02 10:27:00,2010-12-02,10
144,536621,2010-12-02 10:35:00,2010-12-02,10
145,536623,2010-12-02 10:39:00,2010-12-02,10
146,536624,2010-12-02 10:45:00,2010-12-02,10
147,536626,2010-12-02 10:46:00,2010-12-02,10
148,536627,2010-12-02 10:53:00,2010-12-02,10
149,536628,2010-12-02 10:54:00,2010-12-02,10
150,536629,2010-12-02 10:55:00,2010-12-02,10
151,536630,2010-12-02 10:56:00,2010-12-02,10
152,536631,2010-12-02 10:58:00,2010-12-02,10
153,536632,2010-12-02 11:02:00,2010-12-02,11
154,536633,2010-12-02 11:20:00,2010-12-02,11
155,536634,2010-12-02 11:21:00,2010-12-02,11
156,536635,2010-12-02 11:22:00,2010-12-02,11
157,536636,2010-12-02 11:23:00,2010-12-02,11
158,536637,2010-12-02 11:35:00,2010-12-02,11
159,536638,2010-12-02 11:41:00,2010-12-02,11
160,536639,2010-12-02 11:45:00,2010-12-02,11
161,536641,2010-12-02 11:46:00,2010-12-02,11
162,536643,2010-12-02 11:57:00,2010-12-02,11
163,536663,2010-12-02 12:07:00,2010-12-02,12
164,536667,2010-12-02 12:09:00,2010-12-02,12
165,536670,2010-12-02 12:09:00,2010-12-02,12
166,536671,2010-12-02 12:10:00,2010-12-02,12
167,536672,2010-12-02 12:10:00,2010-12-02,12
168,536673,2010-12-02 12:11:00,2010-12-02,12
169,536674,2010-12-02 12:16:00,2010-12-02,12
170,536676,2010-12-02 12:18:00,2010-12-02,12
171,536681,2010-12-02 12:22:00,2010-12-02,12
172,536685,2010-12-02 12:23:00,2010-12-02,12
173,536688,2010-12-02 12:24:00,2010-12-02,12
174,536690,2010-12-02 12:25:00,2010-12-02,12
175,536693,2010-12-02 12:26:00,2010-12-02,12
176,536698,2010-12-02 12:28:00,2010-12-02,12
177,536707,2010-12-02 12:33:00,2010-12-02,12
178,536732,2010-12-02 12:47:00,2010-12-02,12
179,536733,2010-12-02 12:50:00,2010-12-02,12
180,536735,2010-12-02 12:58:00,2010-12-02,12
181,536736,2010-12-02 12:59:00,2010-12-02,12
182,536738,2010-12-02 13:06:00,2010-12-02,13
183,536739,2010-12-02 13:08:00,2010-12-02,13
184,536740,2010-12-02 13:08:00,2010-12-02,13
185,536741,2010-12-02 13:11:00,2010-12-02,13
186,536742,2010-12-02 13:14:00,2010-12-02,13
187,536743,2010-12-02 13:32:00,2010-12-02,13
188,536744,2010-12-02 13:36:00,2010-12-02,13
189,536745,2010-12-02 13:38:00,2010-12-02,13
190,536746,2010-12-02 13:39:00,2010-12-02,13
191,536747,2010-12-02 13:44:00,2010-12-02,13
192,536748,2010-12-02 13:45:00,2010-12-02,13
193,536749,2010-12-02 13:49:00,2010-12-02,13
194,536750,2010-12-02 14:04:00,2010-12-02,14
195,536751,2010-12-02 14:05:00,2010-12-02,14
196,536752,2010-12-02 14:06:00,2010-12-02,14
197,536753,2010-12-02 14:07:00,2010-12-02,14
198,536754,2010-12-02 14:09:00,2010-12-02,14
199,536759,2010-12-02 14:26:00,2010-12-02,14
200,536761,2010-12-02 14:30:00,2010-12-02,14
201,536762,2010-12-02 14:40:00,2010-12-02,14
202,536763,2010-12-02 14:42:00,2010-12-02,14
203,536769,2010-12-02 14:47:00,2010-12-02,14
204,536771,2010-12-02 14:49:00,2010-12-02,14
205,536777,2010-12-02 15:00:00,2010-12-02,15
206,536778,2010-12-02 15:03:00,2010-12-02,15
207,536779,2010-12-02 15:08:00,2010-12-02,15
208,536781,2010-12-02 15:14:00,2010-12-02,15
209,536782,2010-12-02 15:18:00,2010-12-02,15
210,536783,2010-12-02 15:19:00,2010-12-02,15
211,536784,2010-12-02 15:20:00,2010-12-02,15
212,536785,2010-12-02 15:22:00,2010-12-02,15
213,536786,2010-12-02 15:23:00,2010-12-02,15
214,536787,2010-12-02 15:24:00,2010-12-02,15
215,536788,2010-12-02 15:25:00,2010-12-02,15
216,536789,2010-12-02 15:25:00,2010-12-02,15
217,536790,2010-12-02 15:26:00,2010-12-02,15
218,536791,2010-12-02 15:27:00,2010-12-02,15
219,536792,2010-12-02 15:28:00,2010-12-02,15
220,536793,2010-12-02 15:39:00,2010-12-02,15
221,536794,2010-12-02 15:40:00,2010-12-02,15
222,536795,2010-12-02 15:40:00,2010-12-02,15
223,536796,2010-12-02 15:46:00,2010-12-02,15
224,536797,2010-12-02 15:49:00,2010-12-02,15
225,536798,2010-12-02 15:55:00,2010-12-02,15
226,536799,2010-12-02 16:00:00,2010-12-02,16
227,536800,2010-12-02 16:12:00,2010-12-02,16
228,536802,2010-12-02 16:29:00,2010-12-02,16
229,536803,2010-12-02 16:33:00,2010-12-02,16
230,536804,2010-12-02 16:34:00,2010-12-02,16
231,536805,2010-12-02 16:38:00,2010-12-02,16
232,536806,2010-12-02 16:42:00,2010-12-02,16
233,536808,2010-12-02 16:46:00,2010-12-02,16
234,536809,2010-12-02 16:48:00,2010-12-02,16
235,536810,2010-12-02 16:50:00,2010-12-02,16
236,536811,2010-12-02 16:51:00,2010-12-02,16
237,536813,2010-12-02 16:59:00,2010-12-02,16
238,536819,2010-12-02 17:12:00,2010-12-02,17
239,536821,2010-12-02 17:17:00,2010-12-02,17
240,536823,2010-12-02 17:22:00,2010-12-02,17
241,536824,2010-12-02 17:24:00,2010-12-02,17
242,536830,2010-12-02 17:38:00,2010-12-02,17
243,536831,2010-12-02 17:40:00,2010-12-02,17
244,536832,2010-12-02 17:41:00,2010-12-02,17
245,536833,2010-12-02 17:48:00,2010-12-02,17
246,536834,2010-12-02 17:51:00,2010-12-02,17
247,536835,2010-12-02 18:06:00,2010-12-02,18
248,536836,2010-12-02 18:08:00,2010-12-02,18
249,536837,2010-12-02 18:15:00,2010-12-02,18
250,536838,2010-12-02 18:23:00,2010-12-02,18
251,536839,2010-12-02 18:25:00,2010-12-02,18
252,536840,2010-12-02 18:27:00,2010-12-02,18
253,536841,2010-12-02 18:27:00,2010-12-02,18
254,536842,2010-12-02 18:45:00,2010-12-02,18
255,536843,2010-12-02 18:46:00,2010-12-02,18
256,536844,2010-12-02 18:49:00,2010-12-02,18
257,536845,2010-12-02 19:18:00,2010-12-02,19
258,536846,2010-12-02 19:59:00,2010-12-02,19
259,536847,2010-12-03 09:31:00,2010-12-03,9
260,536848,2010-12-03 09:39:00,2010-12-03,9
261,536849,2010-12-03 09:45:00,2010-12-03,9
262,536851,2010-12-03 09:49:00,2010-12-03,9
263,536852,2010-12-03 09:51:00,2010-12-03,9
264,536856,2010-12-03 10:26:00,2010-12-03,10
265,536857,2010-12-03 10:33:00,2010-12-03,10
266,536858,2010-12-03 10:36:00,2010-12-03,10
267,536859,2010-12-03 10:43:00,2010-12-03,10
268,536860,2010-12-03 10:43:00,2010-12-03,10
269,536861,2010-12-03 10:44:00,2010-12-03,10
270,536863,2010-12-03 11:19:00,2010-12-03,11
271,536874,2010-12-03 11:35:00,2010-12-03,11
272,536884,2010-12-03 11:42:00,2010-12-03,11
273,536890,2010-12-03 11:48:00,2010-12-03,11
274,536938,2010-12-03 12:05:00,2010-12-03,12
275,536943,2010-12-03 12:11:00,2010-12-03,12
276,536944,2010-12-03 12:20:00,2010-12-03,12
277,536945,2010-12-03 12:24:00,2010-12-03,12
278,536946,2010-12-03 12:28:00,2010-12-03,12
279,536947,2010-12-03 12:29:00,2010-12-03,12
280,536954,2010-12-03 12:41:00,2010-12-03,12
281,536956,2010-12-03 12:43:00,2010-12-03,12
282,536957,2010-12-03 12:43:00,2010-12-03,12
283,536960,2010-12-03 12:48:00,2010-12-03,12
284,536967,2010-12-03 12:57:00,2010-12-03,12
285,536968,2010-12-03 13:09:00,2010-12-03,13
286,536969,2010-12-03 13:10:00,2010-12-03,13
287,536970,2010-12-03 13:12:00,2010-12-03,13
288,536971,2010-12-03 13:40:00,2010-12-03,13
289,536972,2010-12-03 13:42:00,2010-12-03,13
290,536973,2010-12-03 13:43:00,2010-12-03,13
291,536974,2010-12-03 13:59:00,2010-12-03,13
292,536975,2010-12-03 14:04:00,2010-12-03,14
293,536976,2010-12-03 14:18:00,2010-12-03,14
294,536977,2010-12-03 14:18:00,2010-12-03,14
295,536980,2010-12-03 14:26:00,2010-12-03,14
296,536981,2010-12-03 14:26:00,2010-12-03,14
297,536983,2010-12-03 14:30:00,2010-12-03,14
298,536984,2010-12-03 14:35:00,2010-12-03,14
299,536985,2010-12-03 14:40:00,2010-12-03,14
300,536986,2010-12-03 14:40:00,2010-12-03,14
301,536987,2010-12-03 14:54:00,2010-12-03,14
302,536988,2010-12-03 15:05:00,2010-12-03,15
303,536989,2010-12-03 15:10:00,2010-12-03,15
304,536990,2010-12-03 15:14:00,2010-12-03,15
305,536992,2010-12-03 15:16:00,2010-12-03,15
306,536993,2010-12-03 15:19:00,2010-12-03,15
307,536994,2010-12-03 15:25:00,2010-12-03,15
308,537022,2010-12-03 15:45:00,2010-12-03,15
309,537023,2010-12-03 16:02:00,2010-12-03,16
310,537026,2010-12-03 16:35:00,2010-12-03,16
311,537030,2010-12-03 16:44:00,2010-12-03,16
312,537031,2010-12-03 16:45:00,2010-12-03,16
313,537034,2010-12-03 17:20:00,2010-12-03,17
314,537035,2010-12-03 17:21:00,2010-12-03,17
315,537036,2010-12-03 17:28:00,2010-12-03,17
316,537037,2010-12-05 10:03:00,2010-12-05,10
317,537038,2010-12-05 10:12:00,2010-12-05,10
318,537040,2010-12-05 10:27:00,2010-12-05,10
319,537041,2010-12-05 10:36:00,2010-12-05,10
320,537042,2010-12-05 10:45:00,2010-12-05,10
321,537044,2010-12-05 10:52:00,2010-12-05,10
322,537045,2010-12-05 10:54:00,2010-12-05,10
323,537046,2010-12-05 10:58:00,2010-12-05,10
324,537047,2010-12-05 11:02:00,2010-12-05,11
325,537048,2010-12-05 11:03:00,2010-12-05,11
326,537049,2010-12-05 11:04:00,2010-12-05,11
327,537050,2010-12-05 11:10:00,2010-12-05,11
328,537051,2010-12-05 11:12:00,2010-12-05,11
329,537052,2010-12-05 11:15:00,2010-12-05,11
330,537053,2010-12-05 11:38:00,2010-12-05,11
331,537054,2010-12-05 11:40:00,2010-12-05,11
332,537055,2010-12-05 11:45:00,2010-12-05,11
333,537057,2010-12-05 11:49:00,2010-12-05,11
334,537058,2010-12-05 11:51:00,2010-12-05,11
335,537059,2010-12-05 11:54:00,2010-12-05,11
336,537065,2010-12-05 11:57:00,2010-12-05,11
337,537067,2010-12-05 11:57:00,2010-12-05,11
338,537077,2010-12-05 11:59:00,2010-12-05,11
339,537081,2010-12-05 12:00:00,2010-12-05,12
340,537086,2010-12-05 12:01:00,2010-12-05,12
341,537090,2010-12-05 12:02:00,2010-12-05,12
342,537111,2010-12-05 12:08:00,2010-12-05,12
343,537117,2010-12-05 12:09:00,2010-12-05,12
344,537126,2010-12-05 12:13:00,2010-12-05,12
345,537127,2010-12-05 12:13:00,2010-12-05,12
346,537128,2010-12-05 12:15:00,2010-12-05,12
347,537129,2010-12-05 12:15:00,2010-12-05,12
348,537130,2010-12-05 12:23:00,2010-12-05,12
349,537131,2010-12-05 12:26:00,2010-12-05,12
350,537133,2010-12-05 12:29:00,2010-12-05,12
351,537134,2010-12-05 12:34:00,2010-12-05,12
352,537135,2010-12-05 12:35:00,2010-12-05,12
353,537136,2010-12-05 12:42:00,2010-12-05,12
354,537137,2010-12-05 12:43:00,2010-12-05,12
355,537138,2010-12-05 12:44:00,2010-12-05,12
356,537139,2010-12-05 12:47:00,2010-12-05,12
357,537140,2010-12-05 12:53:00,2010-12-05,12
358,537141,2010-12-05 12:57:00,2010-12-05,12
359,537142,2010-12-05 12:57:00,2010-12-05,12
360,537144,2010-12-05 13:00:00,2010-12-05,13
361,537153,2010-12-05 13:03:00,2010-12-05,13
362,537154,2010-12-05 13:05:00,2010-12-05,13
363,537155,2010-12-05 13:05:00,2010-12-05,13
364,537156,2010-12-05 13:08:00,2010-12-05,13
365,537158,2010-12-05 13:10:00,2010-12-05,13
366,537159,2010-12-05 13:17:00,2010-12-05,13
367,537160,2010-12-05 13:18:00,2010-12-05,13
368,537163,2010-12-05 13:21:00,2010-12-05,13
369,537176,2010-12-05 13:26:00,2010-12-05,13
370,537179,2010-12-05 13:29:00,2010-12-05,13
371,537192,2010-12-05 13:42:00,2010-12-05,13
372,537193,2010-12-05 13:49:00,2010-12-05,13
373,537194,2010-12-05 13:53:00,2010-12-05,13
374,537195,2010-12-05 13:55:00,2010-12-05,13
375,537196,2010-12-05 13:55:00,2010-12-05,13
376,537197,2010-12-05 14:02:00,2010-12-05,14
377,537198,2010-12-05 14:03:00,2010-12-05,14
378,537199,2010-12-05 14:06:00,2010-12-05,14
379,537200,2010-12-05 14:17:00,2010-12-05,14
380,537201,2010-12-05 14:19:00,2010-12-05,14
381,537202,2010-12-05 14:25:00,2010-12-05,14
382,537204,2010-12-05 14:45:00,2010-12-05,14
383,537205,2010-12-05 14:52:00,2010-12-05,14
384,537206,2010-12-05 15:02:00,2010-12-05,15
385,537207,2010-12-05 15:06:00,2010-12-05,15
386,537208,2010-12-05 15:12:00,2010-12-05,15
387,537209,2010-12-05 15:12:00,2010-12-05,15
388,537210,2010-12-05 15:15:00,2010-12-05,15
389,537211,2010-12-05 15:18:00,2010-12-05,15
390,537212,2010-12-05 15:21:00,2010-12-05,15
391,537213,2010-12-05 15:26:00,2010-12-05,15
392,537214,2010-12-05 15:35:00,2010-12-05,15
393,537215,2010-12-05 15:38:00,2010-12-05,15
394,537216,2010-12-05 15:40:00,2010-12-05,15
395,537217,2010-12-05 15:40:00,2010-12-05,15
396,537218,2010-12-05 15:46:00,2010-12-05,15
397,537219,2010-12-05 15:47:00,2010-12-05,15
398,537221,2010-12-05 15:54:00,2010-12-05,15
399,537222,2010-12-05 16:00:00,2010-12-05,16
400,537223,2010-12-05 16:10:00,2010-12-05,16
401,537224,2010-12-05 16:24:00,2010-12-05,16
402,537225,2010-12-05 16:41:00,2010-12-05,16
403,537226,2010-12-06 08:34:00,2010-12-06,8
404,537227,2010-12-06 08:42:00,2010-12-06,8
405,537228,2010-12-06 08:43:00,2010-12-06,8
406,537229,2010-12-06 08:44:00,2010-12-06,8
407,537231,2010-12-06 09:21:00,2010-12-06,9
408,537233,2010-12-06 09:37:00,2010-12-06,9
409,537235,2010-12-06 09:45:00,2010-12-06,9
410,537236,2010-12-06 09:52:00,2010-12-06,9
411,537238,2010-12-06 10:03:00,2010-12-06,10
412,537239,2010-12-06 10:05:00,2010-12-06,10
413,537241,2010-12-06 10:18:00,2010-12-06,10
414,537242,2010-12-06 10:19:00,2010-12-06,10
415,537243,2010-12-06 10:19:00,2010-12-06,10
416,537244,2010-12-06 10:20:00,2010-12-06,10
417,537245,2010-12-06 10:24:00,2010-12-06,10
418,537246,2010-12-06 10:27:00,2010-12-06,10
419,537247,2010-12-06 10:34:00,2010-12-06,10
420,537248,2010-12-06 10:36:00,2010-12-06,10
421,537249,2010-12-06 10:38:00,2010-12-06,10
422,537250,2010-12-06 10:43:00,2010-12-06,10
423,537254,2010-12-06 11:01:00,2010-12-06,11
424,537255,2010-12-06 11:03:00,2010-12-06,11
425,537256,2010-12-06 11:06:00,2010-12-06,11
426,537257,2010-12-06 11:10:00,2010-12-06,11
427,537258,2010-12-06 11:16:00,2010-12-06,11
428,537262,2010-12-06 11:26:00,2010-12-06,11
429,537265,2010-12-06 11:26:00,2010-12-06,11
430,537298,2010-12-06 11:37:00,2010-12-06,11
431,537301,2010-12-06 11:38:00,2010-12-06,11
432,537312,2010-12-06 11:42:00,2010-12-06,11
433,537313,2010-12-06 11:42:00,2010-12-06,11
434,537332,2010-12-06 11:58:00,2010-12-06,11
435,537334,2010-12-06 12:06:00,2010-12-06,12
436,537335,2010-12-06 12:15:00,2010-12-06,12
437,537346,2010-12-06 12:21:00,2010-12-06,12
438,537350,2010-12-06 12:23:00,2010-12-06,12
439,537351,2010-12-06 12:23:00,2010-12-06,12
440,537354,2010-12-06 12:23:00,2010-12-06,12
441,537359,2010-12-06 12:30:00,2010-12-06,12
442,537360,2010-12-06 12:31:00,2010-12-06,12
443,537362,2010-12-06 12:34:00,2010-12-06,12
444,537365,2010-12-06 12:38:00,2010-12-06,12
445,537366,2010-12-06 12:39:00,2010-12-06,12
446,537367,2010-12-06 12:39:00,2010-12-06,12
447,537368,2010-12-06 12:40:00,2010-12-06,12
448,537369,2010-12-06 12:41:00,2010-12-06,12
449,537370,2010-12-06 12:44:00,2010-12-06,12
450,537371,2010-12-06 12:47:00,2010-12-06,12
451,537372,2010-12-06 12:52:00,2010-12-06,12
452,537374,2010-12-06 12:55:00,2010-12-06,12
453,537375,2010-12-06 12:55:00,2010-12-06,12
454,537376,2010-12-06 12:59:00,2010-12-06,12
455,537377,2010-12-06 13:01:00,2010-12-06,13
456,537378,2010-12-06 13:06:00,2010-12-06,13
457,537380,2010-12-06 13:12:00,2010-12-06,13
458,537381,2010-12-06 13:13:00,2010-12-06,13
459,537382,2010-12-06 13:13:00,2010-12-06,13
460,537384,2010-12-06 13:21:00,2010-12-06,13
461,537385,2010-12-06 13:22:00,2010-12-06,13
462,537386,2010-12-06 13:32:00,2010-12-06,13
463,537387,2010-12-06 13:34:00,2010-12-06,13
464,537388,2010-12-06 13:35:00,2010-12-06,13
465,537389,2010-12-06 13:41:00,2010-12-06,13
466,537390,2010-12-06 13:47:00,2010-12-06,13
467,537391,2010-12-06 13:53:00,2010-12-06,13
468,537392,2010-12-06 13:58:00,2010-12-06,13
469,537393,2010-12-06 13:59:00,2010-12-06,13
470,537394,2010-12-06 14:00:00,2010-12-06,14
471,537395,2010-12-06 14:05:00,2010-12-06,14
472,537396,2010-12-06 14:08:00,2010-12-06,14
473,537397,2010-12-06 14:19:00,2010-12-06,14
474,537399,2010-12-06 14:31:00,2010-12-06,14
475,537400,2010-12-06 14:36:00,2010-12-06,14
476,537403,2010-12-06 14:43:00,2010-12-06,14
477,537404,2010-12-06 14:46:00,2010-12-06,14
478,537405,2010-12-06 14:51:00,2010-12-06,14
479,537407,2010-12-06 14:55:00,2010-12-06,14
480,537409,2010-12-06 15:00:00,2010-12-06,15
481,537410,2010-12-06 15:03:00,2010-12-06,15
482,537412,2010-12-06 15:06:00,2010-12-06,15
483,537415,2010-12-06 15:09:00,2010-12-06,15
484,537418,2010-12-06 15:13:00,2010-12-06,15
485,537419,2010-12-06 15:14:00,2010-12-06,15
486,537420,2010-12-06 15:18:00,2010-12-06,15
487,537421,2010-12-06 15:25:00,2010-12-06,15
488,537422,2010-12-06 15:27:00,2010-12-06,15
489,537423,2010-12-06 15:34:00,2010-12-06,15
490,537424,2010-12-06 15:35:00,2010-12-06,15
491,537428,2010-12-06 15:38:00,2010-12-06,15
492,537429,2010-12-06 15:54:00,2010-12-06,15
493,537433,2010-12-06 16:36:00,2010-12-06,16
494,537435,2010-12-06 16:58:00,2010-12-06,16
495,537440,2010-12-06 17:16:00,2010-12-06,17
496,537441,2010-12-06 17:26:00,2010-12-06,17
497,537446,2010-12-07 09:13:00,2010-12-07,9
498,537447,2010-12-07 09:21:00,2010-12-07,9
499,537448,2010-12-07 09:23:00,2010-12-07,9
500,537456,2010-12-07 09:43:00,2010-12-07,9
501,537457,2010-12-07 09:51:00,2010-12-07,9
502,537458,2010-12-07 09:55:00,2010-12-07,9
503,537459,2010-12-07 09:57:00,2010-12-07,9
504,537460,2010-12-07 10:04:00,2010-12-07,10
505,537461,2010-12-07 10:06:00,2010-12-07,10
506,537462,2010-12-07 10:06:00,2010-12-07,10
507,537463,2010-12-07 10:08:00,2010-12-07,10
508,537464,2010-12-07 10:14:00,2010-12-07,10
509,537465,2010-12-07 10:32:00,2010-12-07,10
510,537467,2010-12-07 10:36:00,2010-12-07,10
511,537468,2010-12-07 10:36:00,2010-12-07,10
512,537469,2010-12-07 10:43:00,2010-12-07,10
513,537470,2010-12-07 10:47:00,2010-12-07,10
514,537471,2010-12-07 10:51:00,2010-12-07,10
515,537472,2010-12-07 11:11:00,2010-12-07,11
516,537476,2010-12-07 11:26:00,2010-12-07,11
