stock_code,product_name,revenue,quantity
22273,FELTCRAFT DOLL MOLLY,11748.24,4464
47590B,PINK HAPPY BIRTHDAY BUNTING,11666.35,2283
22554,PLASTERS IN TIN WOODLAND ANIMALS,11620.929999999998,7297
20971,PINK BLUE FELT CRAFT TRINKET BOX,11619.39,10217
23077,DOUGHNUT LIP GLOSS ,11615.7,9642
21977,PACK OF 60 PINK PAISLEY CAKE CASES,11611.0,24230
23174,REGENCY SUGAR BOWL GREEN,11567.24,2954
22607,WOODEN ROUNDERS GARDEN SET ,11561.34,1265
22149,FELTCRAFT 6 FLOWER FRIENDS,11549.59,5882
48188,DOORMAT WELCOME PUPPIES,11536.25,2027
22191,IVORY DINER WALL CLOCK,11527.7,1419
22427,ENAMEL FLOWER JUG CREAM,11421.130000000001,1991
21755,LOVE BUILDING BLOCK WORD,11398.710000000001,1923
22193,RED DINER WALL CLOCK,11048.890000000001,1349
21930,JUMBO STORAGE BAG SKULLS,10865.83,5694
22501,PICNIC BASKET WICKER LARGE,10799.0,1192
22570,FELTCRAFT CUSHION RABBIT,10672.31,3012
22413,METAL SIGN TAKE IT OR LEAVE IT ,10638.45,3687
22776,SWEETHEART CAKESTAND 3 TIER,10560.65,1115
21790,VINTAGE SNAP CARDS,10441.47,13329
47566B,TEA TIME PARTY BUNTING,10430.400000000001,2288
21936,RED RETROSPOT PICNIC BAG,10365.76,3756
22662,LUNCH BAG DOLLY GIRL DESIGN,10330.99,6527
22730,ALARM CLOCK BAKELIKE IVORY,10259.36,2721
22087,PAPER BUNTING WHITE LACE,10243.400000000001,3772
85014B,RED RETROSPOT UMBRELLA,10217.720000000001,1841
21479,WHITE SKULL HOT WATER BOTTLE ,10215.47,2699
22617,BAKING SET SPACEBOY DESIGN,10210.890000000001,2153
23170,REGENCY TEA PLATE ROSES ,10170.99,6563
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,10123.16,925
20724,RED RETROSPOT CHARLOTTE BAG,10122.45,12805
47590A,BLUE HAPPY BIRTHDAY BUNTING,10096.62,1948
22988,SOLDIERS EGG CUP ,10070.220000000001,8757
71459,HANGING JAM JAR T-LIGHT HOLDER,10031.45,12941
21891,TRADITIONAL WOODEN SKIPPING ROPE,9998.32,7904
23208,LUNCH BAG VINTAGE LEAF DESIGN,9950.35,6191
23300,GARDENERS KNEELING PAD CUP OF TEA ,9933.689999999999,6285
22499,WOODEN UNION JACK BUNTING,9928.83,1734
48173C,DOORMAT BLACK FLOCK ,9797.75,1784
23343,JUMBO BAG VINTAGE CHRISTMAS ,9742.1,4905
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,9649.99,12305
23076,ICE CREAM SUNDAE LIP GLOSS,9638.16,7896
22569,FELTCRAFT CUSHION BUTTERFLY,9632.98,2692
22690,DOORMAT HOME SWEET HOME BLUE ,9619.99,1595
84997A,CHILDRENS CUTLERY POLKADOT GREEN ,9618.29,2525
22846,BREAD BIN DINER STYLE RED ,9597.31,626
22556,PLASTERS IN TIN CIRCUS PARADE ,9588.71,5947
22970,LONDON BUS COFFEE MUG,9582.15,4213
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,9566.51,15563
22605,WOODEN CROQUET GARDEN SET,9555.98,709
22633,HAND WARMER UNION JACK,9516.960000000001,4730
22692,DOORMAT WELCOME TO OUR HOME,9451.58,1376
22555,PLASTERS IN TIN STRONGMAN,9444.14,5874
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,9401.82,2698
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,9374.7,1266
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,9313.17,2465
22621,TRADITIONAL KNITTING NANCY,9294.57,5893
22560,TRADITIONAL MODELLING CLAY,9281.47,7990
22766,PHOTO FRAME CORNICE,9277.28,3176
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,9271.84,8219
21914,BLUE HARMONICA IN BOX ,9218.88,7431
21481,FAWN BLUE HOT WATER BOTTLE,9196.050000000001,2919
23171,REGENCY TEA PLATE GREEN ,9184.9,5966
22978,PANTRY ROLLING PIN,9180.529999999999,2406
21217,RED RETROSPOT ROUND CAKE TINS,9178.3,974
22561,WOODEN SCHOOL COLOURING SET,9064.619999999999,5690
20679,EDWARDIAN PARASOL RED,9055.87,1630
23175,REGENCY MILK JUG PINK ,8995.0,3062
22992,REVOLVER WOODEN RULER ,8944.439999999999,4914
22632,HAND WARMER RED RETROSPOT,8738.52,4388
22838,3 TIER CAKE TIN RED AND CREAM,8737.78,652
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,8721.89,3711
85150,LADIES & GENTLEMEN METAL SIGN,8696.58,3898
84375,SET OF 20 KIDS COOKIE CUTTERS,8676.27,4139
20972,PINK CREAM FELT CRAFT TRINKET BOX ,8617.24,7106
22966,GINGERBREAD MAN COOKIE CUTTER,8615.130000000001,7196
84991,60 TEATIME FAIRY CAKE CASES,8604.62,17664
22619,SET OF 6 SOLDIER SKITTLES,8571.25,2290
82582,AREA PATROLLED METAL SIGN,8548.02,4288
23582,VINTAGE DOILY JUMBO BAG RED ,8508.220000000001,4434
21791,VINTAGE HEADS AND TAILS CARD GAME ,8500.16,7118
23581,JUMBO BAG PAISLEY PARK,8498.04,4358
22424,ENAMEL BREAD BIN CREAM,8493.5,711
22041,"RECORD FRAME 7"" SINGLE SIZE ",8450.82,3812
22169,FAMILY ALBUM WHITE PICTURE FRAME,8408.14,1074
21174,POTTERING IN THE SHED METAL SIGN,8364.64,3922
23318,BOX OF 6 MINI VINTAGE CRACKERS,8345.43,3645
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",8330.12,1836
22989,SET 2 PANTRY DESIGN TEA TOWELS,8310.17,2693
22147,FELTCRAFT BUTTERFLY HEARTS,8308.75,6123
22791,T-LIGHT GLASS FLUTED ANTIQUE,8288.890000000001,7264
22759,SET OF 3 NOTEBOOKS IN PARCEL,8267.25,5197
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,8259.25,10267
23319,BOX OF 6 MINI 50'S CRACKERS,8169.4800000000005,3520
23322,LARGE WHITE HEART OF WICKER,8137.500000000001,2892
22655,VINTAGE RED KITCHEN CABINET,8125.0,60
23256,CHILDRENS CUTLERY SPACEBOY ,8115.4800000000005,2016
23082,SET 6 PAPER TABLE LANTERN HEARTS ,8110.68,2260
23078,ICE CREAM PEN LIP GLOSS ,8077.31,6607
48116,DOORMAT MULTICOLOUR STRIPE,8045.2699999999995,1418
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,8040.27,2839
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8022.76,2210
22158,3 HEARTS HANGING DECORATION RUSTIC,8013.71,2845
22729,ALARM CLOCK BAKELIKE ORANGE,7984.38,2179
21210,SET OF 72 RETROSPOT PAPER  DOILIES,7943.0199999999995,5677
23080,RED METAL BOX TOP SECRET,7920.78,998
22667,RECIPE BOX RETROSPOT ,7896.85,2851
21121,SET/10 RED POLKADOT PARTY CANDLES,7794.18,6498
22652,TRAVEL SEWING KIT,7779.11,4859
72741,GRAND CHOCOLATECANDLE,7758.95,5783
84378,SET OF 3 HEART COOKIE CUTTERS,7719.34,6001
20711,JUMBO BAG TOYS ,7689.28,4198
22940,FELTCRAFT CHRISTMAS FAIRY,7658.93,1881
22768,FAMILY PHOTO FRAME CORNICE,7636.889999999999,836
35970,ZINC FOLKART SLEIGH BELLS,7631.31,4627
23439,HAND WARMER RED LOVE HEART,7574.1,3721
22192,BLUE DINER WALL CLOCK,7528.93,907
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,7495.29,2063
21136,PAINTED METAL PEARS ASSORTED,7454.22,4454
22952,60 CAKE CASES VINTAGE CHRISTMAS,7418.400000000001,14736
21314,SMALL GLASS HEART TRINKET POT,7399.960000000001,3664
22557,PLASTERS IN TIN VINTAGE PAISLEY ,7331.839999999999,4564
21770,OPEN CLOSED METAL SIGN,7296.51,1574
20719,WOODLAND CHARLOTTE BAG,7261.94,9219
22616,PACK OF 12 LONDON TISSUES ,7261.7699999999995,25329
22804,CANDLEHOLDER PINK HANGING HEART,7215.46,2858
21908,CHOCOLATE THIS WAY METAL SIGN,7204.320000000001,3633
21889,WOODEN BOX OF DOMINOES,7200.95,5766
84949,SILVER HANGING T-LIGHT HOLDER,7173.449999999999,4653
22585,PACK OF 6 BIRDY GIFT TAGS,7135.95,6051
84406B,CREAM CUPID HEARTS COAT HANGER,7121.2300000000005,1917
23238,SET OF 4 KNICK KNACK TINS LONDON ,7116.650000000001,1775
22355,CHARLOTTE BAG SUKI DESIGN,7114.85,8947
22144,CHRISTMAS CRAFT LITTLE FRIENDS,7109.200000000001,3459
84836,ZINC METAL HEART DECORATION,7099.93,5750
22750,FELTCRAFT PRINCESS LOLA DOLL,7095.69,1945
22795,SWEETHEART RECIPE BOOK STAND,7077.900000000001,1098
21218,RED SPOTTY BISCUIT TIN,7071.2,2058
23007, SPACEBOY BABY GIFT SET,7048.549999999999,449
22950,36 DOILIES VINTAGE CHRISTMAS,7043.95,5179
22741,FUNKY DIVA PEN,7010.94,8328
21787,RAIN PONCHO RETROSPOT,6962.08,8752
23215,JINGLE BELL HEART ANTIQUE SILVER,6955.8,3544
22767,TRIPLE PHOTO FRAME CORNICE ,6932.83,761
23320,GIANT 50'S CHRISTMAS CRACKER,6907.52,2628
23543,WALL ART KEEP CALM ,6869.47,1227
21231,SWEETHEART CERAMIC TRINKET BOX,6864.610000000001,5748
21213,PACK OF 72 SKULL CAKE CASES,6855.46,14302
22991,GIRAFFE WOODEN RULER,6816.84,3708
22456,NATURAL SLATE CHALKBOARD LARGE ,6813.400000000001,1448
84970S,HANGING HEART ZINC T-LIGHT HOLDER,6808.49,8444
21035,SET/2 RED RETROSPOT TEA TOWELS ,6807.01,2315
22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,6803.17,5657
23321,SMALL WHITE HEART OF WICKER,6798.099999999999,4262
23236,STORAGE TIN VINTAGE DOILY ,6782.070000000001,2443
22487,WHITE WOOD GARDEN PLANT LADDER,6768.86,723
22844,VINTAGE CREAM DOG FOOD CONTAINER,6753.85,823
22333,RETROSPOT PARTY BAG + STICKER SET,6745.929999999999,4389
21169,YOU'RE CONFUSING ME METAL SIGN ,6743.98,4270
23493,VINTAGE DOILY TRAVEL SEWING KIT,6736.2,3516
23083,SET 6 PAPER TABLE LANTERN STARS ,6735.88,1859
20969,RED FLORAL FELTCRAFT SHOULDER BAG,6726.81,1874
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,6711.0,5287
22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6705.04,2848
21877,HOME SWEET HOME MUG,6698.56,5340
48111,DOORMAT 3 SMILEY CATS,6690.8,1104
C2,CARRIAGE,6686.0,134
23297,SET 40 HEART SHAPE PETIT FOUR CASES,6677.0,4260
23254,CHILDRENS CUTLERY DOLLY GIRL ,6674.950000000001,1657
22634,CHILDS BREAKFAST SET SPACEBOY ,6652.0,728
21955,DOORMAT UNION JACK GUNS AND ROSES,6619.41,1157
23283,DOORMAT VINTAGE LEAF,6600.27,967
22840,ROUND CAKE TIN VINTAGE RED,6576.88,888
22294,HEART FILIGREE DOVE  SMALL,6574.82,5362
22627,MINT KITCHEN SCALES,6574.29,789
22968,ROSE COTTAGE KEEPSAKE BOX ,6565.0,728
22367,CHILDRENS APRON SPACEBOY DESIGN,6560.79,3537
22725,ALARM CLOCK BAKELIKE CHOCOLATE,6559.26,1772
23008,DOLLY GIRL BABY GIFT SET,6534.049999999999,419
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,6520.91,8111
23109,PACK OF SIX LED TEA LIGHTS,6484.900000000001,2310
22553,PLASTERS IN TIN SKULLS,6461.249999999999,4009
23293,SET OF 12 FAIRY CAKE BAKING CASES,6457.0,8228
23103,JINGLE BELL HEART DECORATION,6442.949999999999,3931
23134,LARGE ZINC HEART WALL ORGANISER,6414.48,1064
21259,VICTORIAN SEWING BOX SMALL ,6402.360000000001,1123
21165,BEWARE OF THE CAT METAL SIGN ,6401.93,4025
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,6378.150000000001,1023
85014A,BLACK/BLUE POLKADOT UMBRELLA,6361.990000000001,1132
21122,SET/10 PINK POLKADOT PARTY CANDLES,6346.08,5251
23229,VINTAGE DONKEY TAIL GAME ,6336.43,1804
23534,WALL ART STOP FOR TEA ,6320.88,1206
22637,PIGGY BANK RETROSPOT ,6298.37,2615
22505,MEMO BOARD COTTAGE DESIGN,6286.39,1361
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,6267.39,2149
84992,72 SWEETHEART FAIRY CAKE CASES,6252.35,13029
23553,LANDMARK FRAME CAMDEN TOWN ,6244.85,557
21669,BLUE STRIPE CERAMIC DRAWER KNOB,6239.4,4936
22381,TOY TIDY PINK POLKADOT,6225.38,3167
21533,RETROSPOT LARGE MILK JUG,6217.650000000001,1307
22826,LOVE SEAT ANTIQUE WHITE METAL,6210.0,58
21668,RED STRIPE CERAMIC DRAWER KNOB,6177.53,5001
23382,BOX OF 6 CHRISTMAS CAKE DECORATIONS,6155.04,1712
23541,WALL ART CLASSIC PUDDINGS ,6154.69,829
21871,SAVE THE PLANET MUG,6150.13,5264
23480,MINI LIGHTS WOODLAND MUSHROOMS,6118.59,1717
22834,HAND WARMER BABUSHKA DESIGN,6118.43,4604
22631,CIRCUS PARADE LUNCH BOX ,6114.83,3371
22303,COFFEE MUG APPLES DESIGN,6108.85,2764
75049L,LARGE CIRCULAR MIRROR MOBILE,6092.049999999999,6809
22635,CHILDS BREAKFAST SET DOLLY GIRL ,6053.049999999999,656
21326,AGED GLASS SILVER T-LIGHT HOLDER,6052.0,10040
47556B,TEA TIME TEA TOWELS ,6045.0,2600
22663,JUMBO BAG DOLLY GIRL DESIGN,6006.33,3096
23307,SET OF 60 PANTRY DESIGN CAKE CASES ,5974.39,11661
17003,BROCADE RING PURSE ,5969.61,22927
22654,DELUXE SEWING KIT ,5968.67,1057
22620,4 TRADITIONAL SPINNING TOPS,5952.83,4486
22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,5939.280000000001,1274
22783,SET 3 WICKER OVAL BASKETS W LIDS,5922.12,462
22508,DOORSTOP RETROSPOT HEART,5919.46,1511
21975,PACK OF 60 DINOSAUR CAKE CASES,5919.280000000001,12106
22151,PLACE SETTING WHITE HEART,5912.19,14853
21380,WOODEN HAPPY BIRTHDAY GARLAND,5901.3,2090
23535,WALL ART BICYCLE SAFETY,5898.61,1123
71053,WHITE METAL LANTERN,5893.45,1633
21155,RED RETROSPOT PEG BAG,5874.95,2458
22895,SET OF 2 TEA TOWELS APPLE AND PEARS,5839.59,1975
22356,CHARLOTTE BAG PINK POLKADOT,5838.09,7303
23169,CLASSIC GLASS COOKIE JAR,5829.650000000001,1451
47591D,PINK FAIRY CAKE CHILDRENS APRON,5815.5599999999995,3140
21535,RED RETROSPOT SMALL MILK JUG,5804.7,2450
23172,REGENCY TEA PLATE PINK,5793.28,3688
22979,PANTRY WASHING UP BRUSH,5785.71,3913
21484,CHICK GREY HOT WATER BOTTLE,5770.27,1545
22779,WOODEN OWLS LIGHT GARLAND ,5768.6,1532
23247,BISCUIT TIN 50'S CHRISTMAS,5760.52,2048
84030E,ENGLISH ROSE HOT WATER BOTTLE,5729.66,1414
23485,BOTANICAL GARDENS WALL CLOCK ,5719.0,259
21888,BINGO SET,5718.21,1551
23113,PANTRY CHOPPING BOARD,5695.86,1138
62018,SOMBRERO ,5691.5,4402
23296,SET OF 6 TEA TIME BAKING CASES,5684.650000000001,4877
22784,LANTERN CREAM GAZEBO ,5676.87,1205
21922,UNION STRIPE WITH FRINGE  HAMMOCK,5674.14,758
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,5663.53,5699
22485,SET OF 2 WOODEN MARKET CRATES,5652.9,462
48129,DOORMAT TOPIARY,5644.46,880
23204,CHARLOTTE BAG APPLES DESIGN,5632.15,7039
22971,QUEENS GUARD COFFEE MUG,5603.57,2365
21156,RETROSPOT CHILDRENS APRON,5585.92,3038
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,5578.14,4534
84988,SET OF 72 PINK HEART PAPER DOILIES,5565.23,3953
23311,VINTAGE CHRISTMAS STOCKING ,5564.25,2199
23312,VINTAGE CHRISTMAS GIFT SACK,5523.0,1364
20723,STRAWBERRY CHARLOTTE BAG,5516.7,6842
21912,VINTAGE SNAKES & LADDERS,5508.53,1571
21094,SET/6 RED SPOTTY PAPER PLATES,5496.53,7351
22584,PACK OF 6 PANNETONE GIFT BOXES,5488.94,2238
22740,POLKADOT PEN,5475.25,6625
22150,3 STRIPEY MICE FELTCRAFT,5460.5,2914
22751,FELTCRAFT PRINCESS OLIVIA DOLL,5434.85,1511
22668,PINK BABY BUNTING,5415.66,1954
22827,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,5415.0,35
23118,PARISIENNE JEWELLERY DRAWER ,5399.02,765
23135,SMALL ZINC HEART WALL ORGANISER,5378.8,1538
22796,PHOTO FRAME 3 CLASSIC HANGING,5357.549999999999,552
22946,WOODEN ADVENT CALENDAR CREAM,5323.05,369
23531,WALL ART BIG LOVE ,5319.36,960
23126,FELTCRAFT GIRL AMELIE KIT,5272.280000000001,1084
22595,GINGHAM HEART DECORATION,5267.8099999999995,6503
23583,LUNCH BAG PAISLEY PARK  ,5251.25,3305
82001S,VINYL RECORD FRAME SILVER,5231.08,1508
22349,DOG BOWL CHASING BALL DESIGN,5220.429999999999,1339
22418,10 COLOUR SPACEBOY PEN,5209.17,6267
23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,5197.169999999999,3269
23133,LARGE IVORY HEART WALL ORGANISER,5142.91,759
23158,SET OF 5 LUCKY CAT MAGNETS ,5117.32,2536
20718,RED RETROSPOT SHOPPER BAG,5106.56,4257
22179,SET 10 NIGHT OWL LIGHTS,5103.99,795
23188,VINTAGE  2 METER FOLDING RULER,5100.16,3096
