Country,StockCode,Description,TotalPrice,Quantity
Denmark,85220,SMALL FAIRY CAKE FRIDGE MAGNETS,6467.599999999999,11960
Denmark,37410,BLACK AND WHITE PAISLEY FLOWER MUG,2516.4,25164
Denmark,POST,POSTAGE,2046.0,115
Denmark,22625,RED KITCHEN SCALES,1468.8000000000002,192
Denmark,22624,IVORY KITCHEN SCALES,1392.3000000000002,182
EIRE,M,Manual,22932.45,26
EIRE,22423,REGENCY CAKESTAND 3 TIER,22353.6,1952
EIRE,C2,CARRIAGE,14000.0,281
EIRE,22838,3 TIER CAKE TIN RED AND CREAM,8501.2,664
EIRE,21166,COOK WITH WINE METAL SIGN ,7799.92,4300
European Community,POST,POSTAGE,282.0,18
European Community,22842,BISCUIT TIN VINTAGE RED,108.0,16
European Community,22843,BISCUIT TIN VINTAGE GREEN,108.0,16
European Community,22314,OFFICE MUG WARMER CHOC+BLUE,106.20000000000002,36
European Community,72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,102.0,24
Finland,POST,POSTAGE,7781.0,201
Finland,84997D,CHILDRENS CUTLERY POLKADOT PINK,3638.4,960
Finland,84997C,CHILDRENS CUTLERY POLKADOT BLUE,2374.8,600
Finland,84997A,CHILDRENS CUTLERY POLKADOT GREEN ,1569.2,392
Finland,M,Manual,1102.4,4
France,POST,POSTAGE,40484.0,2164
France,M,Manual,24005.440000000002,15
France,23084,RABBIT NIGHT LIGHT,14468.48,8000
France,21731,RED TOADSTOOL LED NIGHT LIGHT,6636.299999999999,4022
France,22423,REGENCY CAKESTAND 3 TIER,6334.95,533
Germany,POST,POSTAGE,60232.2,3204
Germany,22423,REGENCY CAKESTAND 3 TIER,22661.85,2027
Germany,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,11395.45,3967
Germany,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6556.150000000001,2281
Germany,M,Manual,5367.52,19
Greece,POST,POSTAGE,720.0,15
Greece,48129,DOORMAT TOPIARY,420.9,62
Greece,48188,DOORMAT WELCOME PUPPIES,420.9,62
Greece,85123A,WHITE HANGING HEART T-LIGHT HOLDER,408.0,160
Greece,22423,REGENCY CAKESTAND 3 TIER,388.65,35
Iceland,84558A,3D DOG PICTURE PLAYING CARDS,831.9000000000001,282
Iceland,23076,ICE CREAM SUNDAE LIP GLOSS,499.20000000000005,480
Iceland,22423,REGENCY CAKESTAND 3 TIER,420.75,33
Iceland,23084,RABBIT NIGHT LIGHT,307.68,168
Iceland,22727,ALARM CLOCK BAKELIKE RED ,285.0,76
Israel,22423,REGENCY CAKESTAND 3 TIER,1277.3999999999999,116
Israel,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,525.0,204
Israel,23240,SET OF 4 KNICK KNACK TINS DOILEY ,459.6,120
Israel,22192,BLUE DINER WALL CLOCK,459.00000000000006,60
Israel,23236,DOILEY STORAGE TIN,308.40000000000003,120
Italy,POST,POSTAGE,4850.0,123
Italy,22847,BREAD BIN DINER STYLE IVORY,647.9,42
Italy,22139,RETROSPOT TEA SET CERAMIC 11 PC ,504.90000000000003,102
Italy,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,504.90000000000003,102
Italy,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,442.50000000000006,150
Japan,23084,RABBIT NIGHT LIGHT,12200.64,6816
Japan,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,11445.15,4485
Japan,21218,RED SPOTTY BISCUIT TIN,1716.0,528
Japan,20750,RED RETROSPOT MINI CASES,1523.9999999999998,240
Japan,21217,RED RETROSPOT ROUND CAKE TINS,1503.6,168
Korea,21201,TROPICAL  HONEYCOMB PAPER GARLAND ,100.80000000000001,48
Korea,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,61.199999999999996,24
Korea,85174,S/4 CACTI CANDLES,59.400000000000006,12
Korea,22812,PACK 3 BOXES CHRISTMAS PANNETONE,46.8,24
Korea,47590A,BLUE HAPPY BIRTHDAY BUNTING,32.7,6
Lebanon,22423,REGENCY CAKESTAND 3 TIER,306.0,24
Lebanon,22606,WOODEN SKITTLES GARDEN SET,204.0,16
Lebanon,85066,CREAM SWEETHEART MINI CHEST,204.0,16
Lebanon,21906,PHARMACIE FIRST AID TIN,162.0,24
Lebanon,22842,BISCUIT TIN VINTAGE RED,142.8,24
Lithuania,20967,GREY FLORAL FELTCRAFT SHOULDER BAG,435.0,116
Lithuania,22750,FELTCRAFT PRINCESS LOLA DOLL,420.0,112
Lithuania,22271,FELTCRAFT DOLL ROSIE,402.59999999999997,156
Lithuania,22751,FELTCRAFT PRINCESS OLIVIA DOLL,375.0,100
Lithuania,22569,FELTCRAFT CUSHION BUTTERFLY,315.0,84
Malta,M,Manual,2686.75,2
Malta,POST,POSTAGE,1310.0,24
Malta,72741,GRAND CHOCOLATECANDLE,324.9,234
Malta,22423,REGENCY CAKESTAND 3 TIER,242.25,19
Malta,23173,REGENCY TEAPOT ROSES ,159.2,16
Netherlands,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,21306.5,8342
Netherlands,23084,RABBIT NIGHT LIGHT,19136.96,9602
Netherlands,22629,SPACEBOY LUNCH BOX ,18181.8,10988
Netherlands,22630,DOLLY GIRL LUNCH BOX,17626.5,10654
Netherlands,21731,RED TOADSTOOL LED NIGHT LIGHT,12452.699999999999,8542
Nigeria,ADJUST,Adjustment by john on 26/01/2010 17,27.82,1
Nigeria,84991,60 TEATIME FAIRY CAKE CASES,13.200000000000001,24
Nigeria,16156S,WRAP PINK FAIRY CAKES ,10.5,25
Nigeria,22047,EMPIRE GIFT WRAP,10.5,25
Nigeria,22618,COOKING SET RETROSPOT,9.95,1
Norway,M,Manual,15596.94,8
Norway,POST,POSTAGE,5861.0,117
Norway,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,1077.6000000000001,1008
Norway,22635,CHILDS BREAKFAST SET DOLLY GIRL ,1054.8,120
Norway,22634,CHILDS BREAKFAST SET SPACEBOY ,975.2,112
Poland,POST,POSTAGE,800.0,20
Poland,21232,STRAWBERRY CERAMIC TRINKET BOX,482.64,408
Poland,37448,CERAMIC CAKE DESIGN SPOTTED MUG,472.44,348
Poland,22666,RECIPE BOX PANTRY YELLOW DESIGN,370.20000000000005,132
Poland,22722,SET OF 6 SPICE TINS PANTRY DESIGN,355.20000000000005,96
Portugal,M,Manual,8447.880000000001,16
Portugal,POST,POSTAGE,7363.6,281
Portugal,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1067.3,530
Portugal,22139,RETROSPOT TEA SET CERAMIC 11 PC ,956.4000000000001,200
Portugal,22423,REGENCY CAKESTAND 3 TIER,946.3499999999999,81
RSA,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,76.5,6
RSA,22605,WOODEN CROQUET GARDEN SET,59.8,4
RSA,23298,SPOTTY BUNTING,59.400000000000006,12
RSA,22423,REGENCY CAKESTAND 3 TIER,51.0,4
RSA,22526,WHEELBARROW FOR CHILDREN ,51.0,4
Saudi Arabia,22553,PLASTERS IN TIN SKULLS,39.599999999999994,24
Saudi Arabia,22555,PLASTERS IN TIN STRONGMAN,39.599999999999994,24
Saudi Arabia,22556,PLASTERS IN TIN CIRCUS PARADE ,39.599999999999994,24
Saudi Arabia,22361,GLASS JAR DAISY FRESH COTTON WOOL,35.400000000000006,12
Saudi Arabia,22362,GLASS JAR PEACOCK BATH SALTS,35.400000000000006,12
Singapore,M,Manual,24317.8,14
Singapore,22423,REGENCY CAKESTAND 3 TIER,1102.2,100
Singapore,48138,DOORMAT UNION FLAG,681.6,100
Singapore,85123A,WHITE HANGING HEART T-LIGHT HOLDER,514.1999999999999,196
Singapore,22655,VINTAGE RED KITCHEN CABINET,500.0,4
Spain,POST,POSTAGE,14779.0,515
Spain,84997D,CHILDRENS CUTLERY POLKADOT PINK,5474.700000000001,1458
Spain,84997C,CHILDRENS CUTLERY POLKADOT BLUE,4901.5,1306
Spain,22423,REGENCY CAKESTAND 3 TIER,4569.75,381
Spain,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,3173.04,936
Sweden,POST,POSTAGE,5200.0,131
Sweden,22492,MINI PAINT SET VINTAGE ,4656.6,7164
Sweden,85232B,SET OF 3 BABUSHKA STACKING TINS,3578.85,723
Sweden,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3534.3,714
Sweden,21210,SET OF 72 RETROSPOT PAPER  DOILIES,2557.7999999999997,1764
Switzerland,POST,POSTAGE,10743.0,254
Switzerland,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,3375.9,1242
Switzerland,22554,PLASTERS IN TIN WOODLAND ANIMALS,2381.3999999999996,1548
Switzerland,22423,REGENCY CAKESTAND 3 TIER,1861.05,155
Switzerland,22551,PLASTERS IN TIN SPACEBOY,1784.9999999999998,1140
Thailand,22497,SET OF 2 TINS VINTAGE BATHROOM ,360.0,96
Thailand,21429,RED GINGHAM ROSE JEWELLERY BOX,278.4,192
Thailand,21431,GREEN GINGHAM FLOWER JEWELLERY BOX,278.4,192
Thailand,22495,SET OF 2 ROUND TINS CAMEMBERT ,275.4,108
Thailand,21700,BIG DOUGHNUT FRIDGE MAGNETS,172.79999999999998,240
USA,21355,TOAST ITS - I LOVE YOU ,452.40000000000003,408
USA,POST,POSTAGE,446.0,4
USA,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,325.44,96
USA,22423,REGENCY CAKESTAND 3 TIER,318.75,25
USA,21121,SET/10 RED POLKADOT PARTY CANDLES,180.0,144
United Arab Emirates,22423,REGENCY CAKESTAND 3 TIER,395.25,31
United Arab Emirates,M,Manual,253.0,1
United Arab Emirates,21700,BIG DOUGHNUT FRIDGE MAGNETS,224.39999999999998,264
United Arab Emirates,47590B,PINK HAPPY BIRTHDAY BUNTING,196.20000000000002,36
United Arab Emirates,85150,LADIES & GENTLEMEN METAL SIGN,183.6,72
United Kingdom,22423,REGENCY CAKESTAND 3 TIER,344455.85,29897
United Kingdom,23843,"PAPER CRAFT , LITTLE BIRDIE",336939.2,161990
United Kingdom,85123A,WHITE HANGING HEART T-LIGHT HOLDER,327295.96,120838
United Kingdom,85099B,JUMBO BAG RED RETROSPOT,201598.31,110727
United Kingdom,84879,ASSORTED COLOUR BIRD ORNAMENT,170025.21,106665
Unspecified,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,211.64999999999998,83
Unspecified,37495,FAIRY CAKE BIRTHDAY CANDLE SET,180.0,48
Unspecified,21110,LARGE CAKE TOWEL PINK SPOTS,162.0,24
Unspecified,37503,TEA TIME CAKE STAND IN GIFT BOX,150.5,14
Unspecified,22960,JAM MAKING SET WITH JARS,141.0,36
West Indies,20886,BOX OF 9 PEBBLE CANDLES,46.8,24
West Indies,22444,GROW YOUR OWN PLANT IN A CAN ,30.0,24
West Indies,72802A,ROSE SCENT CANDLE IN JEWELLED BOX,25.5,6
West Indies,72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,25.5,6
West Indies,35651,VINTAGE BEAD PINK SCARF ,23.85,3
