InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,Month,Year
540160,22379,RECYCLING BAG RETROSPOT ,600,2011-01-05 11:50:00,1.85,15769,United Kingdom,1110.0,1,2011
540175,79321,CHILLI LIGHTS,480,2011-01-05 12:37:00,3.98,16532,United Kingdom,1910.4,1,2011
540267,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,240,2011-01-06 11:12:00,4.25,12415,Australia,1020.0,1,2011
540689,21733,RED HANGING HEART T-LIGHT HOLDER,860,2011-01-11 08:43:00,3.24,17450,United Kingdom,2786.4,1,2011
540689,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1010,2011-01-11 08:43:00,3.24,17450,United Kingdom,3272.4,1,2011
540689,22469,HEART OF WICKER SMALL,1356,2011-01-11 08:43:00,1.93,17450,United Kingdom,2617.08,1,2011
540689,22470,HEART OF WICKER LARGE,1284,2011-01-11 08:43:00,3.21,17450,United Kingdom,4121.64,1,2011
540698,21621,VINTAGE UNION JACK BUNTING,186,2011-01-11 09:24:00,8.87,17450,United Kingdom,1649.82,1,2011
540785,84997D,PINK 3 PIECE POLKADOT CUTLERY SET,360,2011-01-11 11:39:00,3.39,12557,Spain,1220.4,1,2011
540785,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,360,2011-01-11 11:39:00,3.39,12557,Spain,1220.4,1,2011
540815,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1930,2011-01-11 12:55:00,2.55,15749,United Kingdom,4921.5,1,2011
540815,21175,GIN + TONIC DIET METAL SIGN,2000,2011-01-11 12:55:00,1.85,15749,United Kingdom,3700.0,1,2011
540815,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,3114,2011-01-11 12:55:00,2.1,15749,United Kingdom,6539.400000000001,1,2011
540818,47556B,TEA TIME TEA TOWELS ,1300,2011-01-11 12:57:00,2.55,15749,United Kingdom,3314.9999999999995,1,2011
540818,48185,DOORMAT FAIRY CAKE,670,2011-01-11 12:57:00,6.75,15749,United Kingdom,4522.5,1,2011
541220,22423,REGENCY CAKESTAND 3 TIER,160,2011-01-14 14:11:00,10.95,14156,EIRE,1752.0,1,2011
541220,22838,3 TIER CAKE TIN RED AND CREAM,96,2011-01-14 14:11:00,12.75,14156,EIRE,1224.0,1,2011
541220,22840,ROUND CAKE TIN VINTAGE RED,144,2011-01-14 14:11:00,6.95,14156,EIRE,1000.8000000000001,1,2011
541431,23166,MEDIUM CERAMIC TOP STORAGE JAR,74215,2011-01-18 10:01:00,1.04,12346,United Kingdom,77183.6,1,2011
543047,21137,BLACK RECORD COVER FRAME,480,2011-02-03 09:42:00,3.39,16210,United Kingdom,1627.2,2,2011
543378,22189,CREAM HEART CARD HOLDER,504,2011-02-07 15:34:00,2.31,18102,United Kingdom,1164.24,2,2011
543378,21623,VINTAGE UNION JACK MEMOBOARD,504,2011-02-07 15:34:00,6.38,18102,United Kingdom,3215.52,2,2011
543379,22189,CREAM HEART CARD HOLDER,504,2011-02-07 15:37:00,2.31,18102,United Kingdom,1164.24,2,2011
543379,21623,VINTAGE UNION JACK MEMOBOARD,504,2011-02-07 15:37:00,6.38,18102,United Kingdom,3215.52,2,2011
543669,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,2400,2011-02-11 11:22:00,0.94,16029,United Kingdom,2256.0,2,2011
543842,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,1056,2011-02-14 11:22:00,1.06,16333,United Kingdom,1119.3600000000001,2,2011
544612,22053,EMPIRE DESIGN ROSETTE,3906,2011-02-22 10:43:00,0.82,18087,United Kingdom,3202.9199999999996,2,2011
544936,20749,ASSORTED COLOUR MINI CASES,204,2011-02-25 09:37:00,6.35,15769,United Kingdom,1295.3999999999999,2,2011
545320,22838,3 TIER CAKE TIN RED AND CREAM,96,2011-03-01 14:47:00,12.75,14156,EIRE,1224.0,3,2011
545341,22423,REGENCY CAKESTAND 3 TIER,150,2011-03-02 09:03:00,10.95,17949,United Kingdom,1642.5,3,2011
545466,21621,VINTAGE UNION JACK BUNTING,200,2011-03-03 09:26:00,6.98,18102,United Kingdom,1396.0,3,2011
545475,21217,RED RETROSPOT ROUND CAKE TINS,120,2011-03-03 10:59:00,8.95,12415,Australia,1074.0,3,2011
546067,22469,HEART OF WICKER SMALL,600,2011-03-09 10:58:00,1.93,17450,United Kingdom,1158.0,3,2011
546328,M,Manual,1,2011-03-11 10:19:00,1687.17,14911,EIRE,1687.17,3,2011
546329,M,Manual,1,2011-03-11 10:22:00,1687.17,14911,EIRE,1687.17,3,2011
546558,M,Manual,1,2011-03-15 09:50:00,2583.76,,Hong Kong,2583.76,3,2011
546789,20713,JUMBO BAG OWLS,700,2011-03-17 10:17:00,1.65,15769,United Kingdom,1155.0,3,2011
546789,85099F,JUMBO BAG STRAWBERRY,900,2011-03-17 10:17:00,1.65,15769,United Kingdom,1485.0,3,2011
546789,22386,JUMBO BAG PINK POLKADOT,800,2011-03-17 10:17:00,1.65,15769,United Kingdom,1320.0,3,2011
546789,85099B,JUMBO BAG RED RETROSPOT,1200,2011-03-17 10:17:00,1.65,15769,United Kingdom,1980.0,3,2011
547706,22900, SET 2 TEA TOWELS I LOVE LONDON ,600,2011-03-24 18:25:00,2.32,12901,United Kingdom,1392.0,3,2011
547708,21897,POTTING SHED CANDLE CITRONELLA,342,2011-03-24 18:34:00,3.21,17450,United Kingdom,1097.82,3,2011
547708,21898,POTTING SHED ROSE CANDLE,378,2011-03-24 18:34:00,3.21,17450,United Kingdom,1213.3799999999999,3,2011
547708,21896,POTTING SHED TWINE,432,2011-03-24 18:34:00,2.4,17450,United Kingdom,1036.8,3,2011
547708,21259,VICTORIAN SEWING BOX SMALL ,192,2011-03-24 18:34:00,6.0,17450,United Kingdom,1152.0,3,2011
547708,85066,CREAM SWEETHEART MINI CHEST,160,2011-03-24 18:34:00,12.98,17450,United Kingdom,2076.8,3,2011
547812,82484,WOOD BLACK BOARD ANT WHITE FINISH,300,2011-03-25 14:06:00,4.77,18102,United Kingdom,1430.9999999999998,3,2011
547812,22507,MEMO BOARD RETROSPOT  DESIGN,304,2011-03-25 14:06:00,3.85,18102,United Kingdom,1170.4,3,2011
547812,21623,VINTAGE UNION JACK MEMOBOARD,300,2011-03-25 14:06:00,6.38,18102,United Kingdom,1914.0,3,2011
547941,21621,VINTAGE UNION JACK BUNTING,150,2011-03-28 14:46:00,7.45,16692,United Kingdom,1117.5,3,2011
548011,22629,SPACEBOY LUNCH BOX ,640,2011-03-29 11:14:00,1.65,14646,Netherlands,1056.0,3,2011
548011,22630,DOLLY GIRL LUNCH BOX,640,2011-03-29 11:14:00,1.65,14646,Netherlands,1056.0,3,2011
548203,22197,SMALL POPCORN HOLDER,637,2011-03-29 16:40:00,1.95,,United Kingdom,1242.1499999999999,3,2011
548203,85099B,JUMBO BAG RED RETROSPOT,211,2011-03-29 16:41:00,4.95,,United Kingdom,1044.45,3,2011
548813,M,Manual,1,2011-04-04 13:03:00,2382.92,12744,Singapore,2382.92,4,2011
548813,M,Manual,1,2011-04-04 13:03:00,1252.95,12744,Singapore,1252.95,4,2011
548820,M,Manual,1,2011-04-04 13:04:00,2053.07,12744,Singapore,2053.07,4,2011
548913,M,Manual,1,2011-04-05 09:45:00,1136.3,12669,France,1136.3,4,2011
549027,22727,ALARM CLOCK BAKELIKE RED ,500,2011-04-05 17:02:00,3.39,17857,United Kingdom,1695.0,4,2011
549027,22728,ALARM CLOCK BAKELIKE PINK,500,2011-04-05 17:02:00,3.39,17857,United Kingdom,1695.0,4,2011
549027,22729,ALARM CLOCK BAKELIKE ORANGE,300,2011-04-05 17:02:00,3.39,17857,United Kingdom,1017.0,4,2011
549027,22726,ALARM CLOCK BAKELIKE GREEN,300,2011-04-05 17:02:00,3.39,17857,United Kingdom,1017.0,4,2011
549468,M,Manual,1,2011-04-08 14:27:00,1867.86,17940,United Kingdom,1867.86,4,2011
549925,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,1056,2011-04-13 10:12:00,1.06,16333,United Kingdom,1119.3600000000001,4,2011
550461,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1930,2011-04-18 13:20:00,2.4,15749,United Kingdom,4632.0,4,2011
550461,47556B,TEA TIME TEA TOWELS ,1300,2011-04-18 13:20:00,2.1,15749,United Kingdom,2730.0,4,2011
550461,48185,DOORMAT FAIRY CAKE,670,2011-04-18 13:20:00,6.35,15749,United Kingdom,4254.5,4,2011
550461,21175,GIN + TONIC DIET METAL SIGN,2000,2011-04-18 13:20:00,1.69,15749,United Kingdom,3380.0,4,2011
550461,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,3114,2011-04-18 13:20:00,2.1,15749,United Kingdom,6539.400000000001,4,2011
551259,22423,REGENCY CAKESTAND 3 TIER,150,2011-04-27 12:04:00,10.95,17949,United Kingdom,1642.5,4,2011
551547,47566,PARTY BUNTING,124,2011-05-03 09:44:00,10.79,,United Kingdom,1337.9599999999998,5,2011
551697,POST,POSTAGE,1,2011-05-03 13:46:00,8142.75,16029,United Kingdom,8142.75,5,2011
552888,22423,REGENCY CAKESTAND 3 TIER,120,2011-05-12 10:23:00,10.95,15061,United Kingdom,1314.0,5,2011
552904,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,428,2011-05-12 11:07:00,2.75,16013,United Kingdom,1177.0,5,2011
553368,22783,SET 3 WICKER OVAL BASKETS W LIDS,80,2011-05-16 14:24:00,16.95,18102,United Kingdom,1356.0,5,2011
553470,23134,LARGE ZINC HEART WALL ORGANISER,200,2011-05-17 11:27:00,5.88,18102,United Kingdom,1176.0,5,2011
554071,22501,PICNIC BASKET WICKER LARGE,200,2011-05-22 11:17:00,8.5,13113,United Kingdom,1700.0,5,2011
554155,M,Manual,1,2011-05-23 11:26:00,1241.98,12757,Portugal,1241.98,5,2011
554272,21977,PACK OF 60 PINK PAISLEY CAKE CASES,2700,2011-05-23 13:08:00,0.42,12901,United Kingdom,1134.0,5,2011
554301,M,Manual,1,2011-05-23 14:46:00,1241.98,12757,Portugal,1241.98,5,2011
554358,22470,HEART OF WICKER LARGE,408,2011-05-24 09:32:00,2.55,17450,United Kingdom,1040.3999999999999,5,2011
554358,21770,OPEN CLOSED METAL SIGN,420,2011-05-24 09:32:00,4.25,17450,United Kingdom,1785.0,5,2011
554366,22349,DOG BOWL CHASING BALL DESIGN,756,2011-05-24 10:24:00,4.18,17450,United Kingdom,3160.08,5,2011
554366,22350,ILLUSTRATED CAT BOWL ,888,2011-05-24 10:24:00,2.69,17450,United Kingdom,2388.72,5,2011
554366,22702,BLACK AND WHITE CAT BOWL,888,2011-05-24 10:24:00,2.4,17450,United Kingdom,2131.2,5,2011
554366,22700,BLACK AND WHITE DOG BOWL,552,2011-05-24 10:24:00,3.24,17450,United Kingdom,1788.48,5,2011
554642,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,960,2011-05-25 12:19:00,1.45,14646,Netherlands,1392.0,5,2011
554845,22469,HEART OF WICKER SMALL,738,2011-05-26 19:49:00,1.93,17450,United Kingdom,1424.34,5,2011
554845,22470,HEART OF WICKER LARGE,330,2011-05-26 19:49:00,3.21,17450,United Kingdom,1059.3,5,2011
554845,85123A,WHITE HANGING HEART T-LIGHT HOLDER,608,2011-05-26 19:49:00,3.24,17450,United Kingdom,1969.92,5,2011
554868,22197,SMALL POPCORN HOLDER,4300,2011-05-27 10:52:00,0.72,13135,United Kingdom,3096.0,5,2011
554956,47566,PARTY BUNTING,143,2011-05-27 15:17:00,10.79,,United Kingdom,1542.9699999999998,5,2011
555478,21137,BLACK RECORD COVER FRAME,336,2011-06-03 12:28:00,3.39,13777,United Kingdom,1139.04,6,2011
555490,22423,REGENCY CAKESTAND 3 TIER,120,2011-06-03 13:50:00,10.95,17949,United Kingdom,1314.0,6,2011
556080,47566,PARTY BUNTING,115,2011-06-08 15:21:00,10.79,,United Kingdom,1240.85,6,2011
556255,48138,DOORMAT UNION FLAG,300,2011-06-09 17:27:00,4.58,18102,United Kingdom,1374.0,6,2011
556255,48173C,DOORMAT BLACK FLOCK ,300,2011-06-09 17:27:00,4.58,18102,United Kingdom,1374.0,6,2011
556255,48188,DOORMAT WELCOME PUPPIES,300,2011-06-09 17:27:00,4.58,18102,United Kingdom,1374.0,6,2011
556255,22690,DOORMAT HOME SWEET HOME BLUE ,300,2011-06-09 17:27:00,4.58,18102,United Kingdom,1374.0,6,2011
556255,21523,DOORMAT FANCY FONT HOME SWEET HOME,300,2011-06-09 17:27:00,4.58,18102,United Kingdom,1374.0,6,2011
556255,48185,DOORMAT FAIRY CAKE,300,2011-06-09 17:27:00,4.58,18102,United Kingdom,1374.0,6,2011
556255,21955,DOORMAT UNION JACK GUNS AND ROSES,300,2011-06-09 17:27:00,4.58,18102,United Kingdom,1374.0,6,2011
556255,48116,DOORMAT MULTICOLOUR STRIPE,300,2011-06-09 17:27:00,4.58,18102,United Kingdom,1374.0,6,2011
556255,48194,DOORMAT HEARTS,300,2011-06-09 17:27:00,4.58,18102,United Kingdom,1374.0,6,2011
556255,48187,DOORMAT NEW ENGLAND,300,2011-06-09 17:27:00,4.58,18102,United Kingdom,1374.0,6,2011
556255,20685,DOORMAT RED RETROSPOT,300,2011-06-09 17:27:00,4.58,18102,United Kingdom,1374.0,6,2011
556255,23284,DOORMAT KEEP CALM AND COME IN,300,2011-06-09 17:27:00,4.58,18102,United Kingdom,1374.0,6,2011
556444,22502,PICNIC BASKET WICKER 60 PIECES,60,2011-06-10 15:28:00,649.5,15098,United Kingdom,38970.0,6,2011
556574,21137,BLACK RECORD COVER FRAME,360,2011-06-13 13:41:00,3.39,16209,United Kingdom,1220.4,6,2011
556718,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,660,2011-06-14 11:02:00,2.75,16013,United Kingdom,1815.0,6,2011
556725,22783,SET 3 WICKER OVAL BASKETS W LIDS,200,2011-06-14 11:28:00,12.48,18102,United Kingdom,2496.0,6,2011
556726,23134,LARGE ZINC HEART WALL ORGANISER,304,2011-06-14 11:31:00,5.88,18102,United Kingdom,1787.52,6,2011
556726,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,204,2011-06-14 11:31:00,5.88,18102,United Kingdom,1199.52,6,2011
556726,21623,VINTAGE UNION JACK MEMOBOARD,204,2011-06-14 11:31:00,6.4,18102,United Kingdom,1305.6000000000001,6,2011
557377,M,Manual,1,2011-06-20 11:00:00,1917.0,,EIRE,1917.0,6,2011
557377,M,Manual,1,2011-06-20 11:00:00,1216.12,,EIRE,1216.12,6,2011
558526,22699,ROSES REGENCY TEACUP AND SAUCER ,768,2011-06-30 11:01:00,2.55,17949,United Kingdom,1958.3999999999999,6,2011
558526,23170,REGENCY TEA PLATE ROSES ,720,2011-06-30 11:01:00,1.45,17949,United Kingdom,1044.0,6,2011
558526,23171,REGENCY TEA PLATE GREEN ,768,2011-06-30 11:01:00,1.45,17949,United Kingdom,1113.6,6,2011
558526,23173,REGENCY TEAPOT ROSES ,540,2011-06-30 11:01:00,8.15,17949,United Kingdom,4401.0,6,2011
558526,23174,REGENCY SUGAR BOWL GREEN,696,2011-06-30 11:01:00,3.75,17949,United Kingdom,2610.0,6,2011
558526,23175,REGENCY MILK JUG PINK ,696,2011-06-30 11:01:00,2.75,17949,United Kingdom,1914.0,6,2011
558554,23245,SET OF 3 REGENCY CAKE TINS,576,2011-06-30 12:50:00,4.15,17949,United Kingdom,2390.4,6,2011
558775,48173C,DOORMAT BLACK FLOCK ,300,2011-07-04 10:20:00,4.58,18102,United Kingdom,1374.0,7,2011
558775,48194,DOORMAT HEARTS,300,2011-07-04 10:20:00,4.58,18102,United Kingdom,1374.0,7,2011
558775,48188,DOORMAT WELCOME PUPPIES,300,2011-07-04 10:20:00,4.58,18102,United Kingdom,1374.0,7,2011
558775,48187,DOORMAT NEW ENGLAND,300,2011-07-04 10:20:00,4.58,18102,United Kingdom,1374.0,7,2011
558775,21523,DOORMAT FANCY FONT HOME SWEET HOME,300,2011-07-04 10:20:00,4.58,18102,United Kingdom,1374.0,7,2011
558777,22501,PICNIC BASKET WICKER LARGE,125,2011-07-04 10:23:00,20.79,,United Kingdom,2598.75,7,2011
558871,84997D,CHILDRENS CUTLERY POLKADOT PINK,360,2011-07-04 13:19:00,3.75,12557,Spain,1350.0,7,2011
558871,84997C,CHILDRENS CUTLERY POLKADOT BLUE,360,2011-07-04 13:19:00,3.75,12557,Spain,1350.0,7,2011
559701,85123A,WHITE HANGING HEART T-LIGHT HOLDER,512,2011-07-12 09:10:00,2.55,16013,United Kingdom,1305.6,7,2011
559941,22423,REGENCY CAKESTAND 3 TIER,112,2011-07-14 10:20:00,10.95,17396,United Kingdom,1226.3999999999999,7,2011
560373,M,Manual,1,2011-07-18 12:30:00,4287.63,,United Kingdom,4287.63,7,2011
560421,M,Manual,1,2011-07-18 15:13:00,1592.49,,United Kingdom,1592.49,7,2011
560887,23300,GARDENERS KNEELING PAD CUP OF TEA ,720,2011-07-21 16:28:00,1.45,16041,United Kingdom,1044.0,7,2011
561397,79321,CHILLI LIGHTS,480,2011-07-27 10:41:00,4.65,16532,United Kingdom,2232.0,7,2011
561633,22423,REGENCY CAKESTAND 3 TIER,192,2011-07-28 14:33:00,10.95,17949,United Kingdom,2102.3999999999996,7,2011
561633,23174,REGENCY SUGAR BOWL GREEN,384,2011-07-28 14:33:00,3.75,17949,United Kingdom,1440.0,7,2011
561633,23175,REGENCY MILK JUG PINK ,384,2011-07-28 14:33:00,2.75,17949,United Kingdom,1056.0,7,2011
561633,23173,REGENCY TEAPOT ROSES ,384,2011-07-28 14:33:00,8.15,17949,United Kingdom,3129.6000000000004,7,2011
561655,23134,LARGE ZINC HEART WALL ORGANISER,256,2011-07-28 16:00:00,5.88,18102,United Kingdom,1505.28,7,2011
561655,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,204,2011-07-28 16:00:00,5.88,18102,United Kingdom,1199.52,7,2011
561659,21733,RED HANGING HEART T-LIGHT HOLDER,352,2011-07-28 16:11:00,3.24,17450,United Kingdom,1140.48,7,2011
561659,85123A,WHITE HANGING HEART T-LIGHT HOLDER,480,2011-07-28 16:11:00,3.24,17450,United Kingdom,1555.2,7,2011
561901,22667,RECIPE BOX RETROSPOT ,408,2011-07-31 15:42:00,2.55,14156,EIRE,1040.3999999999999,7,2011
561901,21843,RED RETROSPOT CAKE STAND,216,2011-07-31 15:42:00,10.95,14156,EIRE,2365.2,7,2011
561901,22666,RECIPE BOX PANTRY YELLOW DESIGN,408,2011-07-31 15:42:00,2.95,14156,EIRE,1203.6000000000001,7,2011
562040,62018,SOMBRERO ,1000,2011-08-02 10:00:00,1.25,17553,United Kingdom,1250.0,8,2011
562439,22191,IVORY DINER WALL CLOCK,348,2011-08-04 18:06:00,7.65,12931,United Kingdom,2662.2000000000003,8,2011
562439,23215,JINGLE BELL HEART ANTIQUE SILVER,576,2011-08-04 18:06:00,1.79,12931,United Kingdom,1031.04,8,2011
562439,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,360,2011-08-04 18:06:00,3.39,12931,United Kingdom,1220.4,8,2011
562439,22197,POPCORN HOLDER,1900,2011-08-04 18:06:00,0.72,12931,United Kingdom,1368.0,8,2011
562439,84879,ASSORTED COLOUR BIRD ORNAMENT,2880,2011-08-04 18:06:00,1.45,12931,United Kingdom,4176.0,8,2011
562946,M,Manual,1,2011-08-11 09:38:00,2500.0,15581,United Kingdom,2500.0,8,2011
562955,DOT,DOTCOM POSTAGE,1,2011-08-11 10:14:00,4505.17,,United Kingdom,4505.17,8,2011
563074,84879,ASSORTED COLOUR BIRD ORNAMENT,968,2011-08-11 15:58:00,1.45,12931,United Kingdom,1403.6,8,2011
A563185,B,Adjust bad debt,1,2011-08-12 14:50:00,11062.06,,United Kingdom,11062.06,8,2011
563549,DOT,DOTCOM POSTAGE,1,2011-08-17 12:34:00,1154.67,,United Kingdom,1154.67,8,2011
563563,22273,FELTCRAFT DOLL MOLLY,480,2011-08-17 14:03:00,2.55,16029,United Kingdom,1224.0,8,2011
563590,22989,SET 2 PANTRY DESIGN TEA TOWELS,360,2011-08-17 20:02:00,3.28,17450,United Kingdom,1180.8,8,2011
563590,22730,ALARM CLOCK BAKELIKE IVORY,250,2011-08-17 20:02:00,4.08,17450,United Kingdom,1020.0,8,2011
563590,22969,HOMEMADE JAM SCENTED CANDLES,696,2011-08-17 20:02:00,1.7,17450,United Kingdom,1183.2,8,2011
563590,22960,JAM MAKING SET WITH JARS,230,2011-08-17 20:02:00,4.6,17450,United Kingdom,1058.0,8,2011
563590,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,352,2011-08-17 20:02:00,5.15,17450,United Kingdom,1812.8000000000002,8,2011
563614,22940,FELTCRAFT CHRISTMAS FAIRY,336,2011-08-18 08:51:00,3.75,12415,Australia,1260.0,8,2011
563614,23314,VINTAGE CHRISTMAS TABLECLOTH,100,2011-08-18 08:51:00,10.39,12415,Australia,1039.0,8,2011
564046,85123A,WHITE HANGING HEART T-LIGHT HOLDER,400,2011-08-22 12:59:00,2.55,16013,United Kingdom,1019.9999999999999,8,2011
564054,22727,ALARM CLOCK BAKELIKE RED ,400,2011-08-22 13:55:00,3.39,17857,United Kingdom,1356.0,8,2011
564054,22728,ALARM CLOCK BAKELIKE PINK,400,2011-08-22 13:55:00,3.39,17857,United Kingdom,1356.0,8,2011
564221,DOT,DOTCOM POSTAGE,1,2011-08-24 09:36:00,1325.0,,United Kingdom,1325.0,8,2011
564312,22835,HOT WATER BOTTLE I AM SO POORLY,312,2011-08-24 12:52:00,4.25,15769,United Kingdom,1326.0,8,2011
565291,82484,WOOD BLACK BOARD ANT WHITE FINISH,300,2011-09-02 11:53:00,4.8,18102,United Kingdom,1440.0,9,2011
565291,23135,SMALL ZINC HEART WALL ORGANISER,408,2011-09-02 11:53:00,3.32,18102,United Kingdom,1354.56,9,2011
565847,DOT,DOTCOM POSTAGE,1,2011-09-07 12:44:00,1569.04,,United Kingdom,1569.04,9,2011
566927,M,Manual,1,2011-09-15 15:20:00,2033.1,17846,United Kingdom,2033.1,9,2011
566931,22688,DOORMAT PEACE ON EARTH BLUE,600,2011-09-15 15:27:00,4.58,18102,United Kingdom,2748.0,9,2011
566931,22687,DOORMAT CHRISTMAS VILLAGE,450,2011-09-15 15:27:00,4.58,18102,United Kingdom,2061.0,9,2011
566934,48194,DOORMAT HEARTS,500,2011-09-15 15:34:00,4.58,18102,United Kingdom,2290.0,9,2011
566934,48187,DOORMAT NEW ENGLAND,500,2011-09-15 15:34:00,4.58,18102,United Kingdom,2290.0,9,2011
566934,48185,DOORMAT FAIRY CAKE,500,2011-09-15 15:34:00,4.58,18102,United Kingdom,2290.0,9,2011
566934,48184,DOORMAT ENGLISH ROSE ,350,2011-09-15 15:34:00,4.58,18102,United Kingdom,1603.0,9,2011
566934,48138,DOORMAT UNION FLAG,500,2011-09-15 15:34:00,4.58,18102,United Kingdom,2290.0,9,2011
566934,48129,DOORMAT TOPIARY,300,2011-09-15 15:34:00,4.58,18102,United Kingdom,1374.0,9,2011
